지역,선거인수,투표수,더불어민주당 문재인,자유한국당 홍준표,국민의당 안철수,바른정당 유승민,정의당 심상정,새누리당 조원진,경제애국당 오영국,국민대통합당 장성민,늘푸른한국당 이재오,민중연합당 김선동,한국국민당 이경희,홍익당 윤홍식,무소속 김민찬,계,무효,기권
서울 종로구,133769.0,102566.0,42512.0,22325.0,22313.0,7412.0,7113.0,228.0,5.0,78.0,31.0,63.0,26.0,47.0,49.0,102202.0,364.0,31203.0
서울 중구,109836.0,82852.0,34062.0,17901.0,19372.0,5874.0,4993.0,158.0,12.0,53.0,21.0,55.0,18.0,25.0,51.0,82595.0,257.0,26984.0
서울 용산구,197962.0,148157.0,58081.0,35230.0,32109.0,11825.0,9773.0,299.0,17.0,68.0,23.0,72.0,32.0,51.0,80.0,147660.0,497.0,49805.0
서울 성동구,259009.0,203175.0,86686.0,40566.0,45674.0,15859.0,12936.0,304.0,16.0,94.0,46.0,108.0,41.0,58.0,124.0,202512.0,663.0,55834.0
서울 광진구,305172.0,240030.0,105512.0,46368.0,52824.0,17114.0,16540.0,312.0,24.0,120.0,48.0,127.0,48.0,65.0,129.0,239231.0,799.0,65142.0
서울 동대문구,304972.0,236092.0,98958.0,51631.0,53359.0,15129.0,15107.0,360.0,41.0,150.0,44.0,160.0,80.0,84.0,162.0,235265.0,827.0,68880.0
서울 중랑구,351986.0,265706.0,111450.0,56545.0,62778.0,15996.0,16817.0,373.0,34.0,155.0,74.0,152.0,65.0,90.0,215.0,264744.0,962.0,86280.0
서울 성북구,378024.0,295866.0,129263.0,57584.0,66518.0,19830.0,20519.0,407.0,34.0,190.0,55.0,172.0,65.0,107.0,178.0,294922.0,944.0,82158.0
서울 강북구,281434.0,210614.0,89645.0,42268.0,51669.0,11871.0,13482.0,324.0,34.0,145.0,45.0,123.0,53.0,93.0,150.0,209902.0,712.0,70820.0
서울 도봉구,293679.0,229233.0,94898.0,47461.0,55600.0,14500.0,14923.0,352.0,30.0,162.0,43.0,152.0,38.0,79.0,144.0,228382.0,851.0,64446.0
서울 노원구,464422.0,374213.0,158167.0,67590.0,96325.0,24846.0,24498.0,548.0,37.0,168.0,85.0,210.0,81.0,120.0,232.0,372907.0,1306.0,90209.0
서울 은평구,413086.0,317275.0,140180.0,60109.0,72582.0,19447.0,21955.0,432.0,49.0,188.0,656.0,160.0,61.0,115.0,181.0,316115.0,1160.0,95811.0
서울 서대문구,268987.0,212076.0,93768.0,40513.0,46237.0,14798.0,15165.0,336.0,25.0,110.0,72.0,119.0,27.0,64.0,125.0,211359.0,717.0,56911.0
서울 마포구,320483.0,256992.0,117336.0,46547.0,52545.0,19059.0,19795.0,381.0,26.0,134.0,38.0,108.0,47.0,86.0,131.0,256233.0,759.0,63491.0
서울 양천구,386393.0,310886.0,133853.0,60814.0,71816.0,22987.0,19309.0,422.0,32.0,194.0,60.0,121.0,61.0,88.0,183.0,309940.0,946.0,75507.0
서울 강서구,501800.0,397108.0,175882.0,76601.0,88128.0,27544.0,26001.0,569.0,56.0,248.0,77.0,215.0,60.0,142.0,284.0,395807.0,1301.0,104692.0
서울 구로구,350524.0,278805.0,121077.0,59194.0,61734.0,17147.0,17437.0,373.0,45.0,141.0,57.0,165.0,56.0,98.0,190.0,277714.0,1091.0,71719.0
서울 금천구,204132.0,155010.0,67423.0,31106.0,36695.0,8835.0,9698.0,165.0,24.0,125.0,37.0,117.0,39.0,61.0,128.0,154453.0,557.0,49122.0
서울 영등포구,316011.0,248833.0,105834.0,53615.0,53994.0,18122.0,15439.0,374.0,37.0,138.0,50.0,122.0,52.0,86.0,154.0,248017.0,816.0,67178.0
서울 동작구,342434.0,276685.0,121722.0,54431.0,60305.0,20593.0,17781.0,384.0,25.0,145.0,40.0,133.0,42.0,81.0,146.0,275828.0,857.0,65749.0
서울 관악구,446035.0,351240.0,159854.0,59914.0,79495.0,23857.0,25300.0,549.0,58.0,197.0,79.0,293.0,73.0,113.0,223.0,350005.0,1235.0,94795.0
서울 서초구,362519.0,292916.0,106416.0,74891.0,63977.0,29231.0,16562.0,520.0,28.0,96.0,55.0,93.0,28.0,84.0,111.0,292092.0,824.0,69603.0
서울 강남구,467032.0,365642.0,128927.0,97639.0,80201.0,36176.0,20287.0,714.0,39.0,121.0,80.0,97.0,49.0,101.0,163.0,364594.0,1048.0,101390.0
서울 송파구,546867.0,441198.0,177328.0,98549.0,99018.0,37438.0,26064.0,657.0,32.0,166.0,68.0,156.0,79.0,151.0,221.0,439927.0,1271.0,105669.0
서울 강동구,376431.0,297476.0,122511.0,65893.0,67499.0,21483.0,17965.0,446.0,29.0,168.0,54.0,123.0,56.0,88.0,196.0,296511.0,965.0,78955.0
부산 중구,40448.0,28604.0,9918.0,10684.0,4675.0,1845.0,1274.0,47.0,4.0,11.0,3.0,14.0,7.0,9.0,18.0,28509.0,95.0,11844.0
부산 서구,98536.0,71446.0,24522.0,26360.0,11868.0,4913.0,3131.0,77.0,8.0,70.0,14.0,32.0,25.0,51.0,77.0,71148.0,298.0,27090.0
부산 동구,79720.0,58304.0,19606.0,22188.0,9815.0,3606.0,2589.0,65.0,14.0,47.0,19.0,21.0,19.0,31.0,62.0,58082.0,222.0,21416.0
부산 영도구,109885.0,78013.0,30094.0,25345.0,13082.0,5375.0,3416.0,78.0,9.0,51.0,21.0,46.0,15.0,45.0,82.0,77659.0,354.0,31872.0
부산 부산진구,323551.0,246124.0,95042.0,79545.0,40636.0,16855.0,12045.0,309.0,25.0,146.0,45.0,121.0,49.0,111.0,224.0,245153.0,971.0,77427.0
